"Reference(s)","Value","Footprint","Qty"
"D1","1n4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1"
"J1","MIDI_OUT","Connector_Audio:Jack_3.5mm_PJ311_Horizontal","1"
"J2","MIDI_IN","Connector_Audio:Jack_3.5mm_PJ311_Horizontal","1"
"J3","MIDI_IN_A_B_VCC","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J4","MIDI_IN_A_B_DATA","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J5","MIDI_OUT_A_B_VCC","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J6","MIDI_OUT_A_B_DATA","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J7","DISPLAY","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1"
"J8","SDCARD","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","1"
"J9","KILL_SWITCH","Button_Switch_THT:SW_CK_JS202011AQN_DPDT_Angled","1"
"J10","DclassAMP","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","1"
"R1,R3","47R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2"
"R2","220R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1"
"R4","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1"
"R5","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1"
"SW1","LEFT","Button_Switch_Keyboard:SW_PG1350","1"
"SW2","DOWN","Button_Switch_Keyboard:SW_PG1350","1"
"SW3","RIGHT","Button_Switch_Keyboard:SW_PG1350","1"
"SW4","UP","Button_Switch_Keyboard:SW_PG1350","1"
"SW5","RT","Button_Switch_Keyboard:SW_PG1350","1"
"SW6","B","Button_Switch_Keyboard:SW_PG1350","1"
"SW7","A","Button_Switch_Keyboard:SW_PG1350","1"
"SW8","LT","Button_Switch_Keyboard:SW_PG1350","1"
"SW9","PLAY","Button_Switch_Keyboard:SW_PG1350","1"
"U1","Pico","RPi_Pico:RPi_Pico_SMD_TH","1"
"U2","6N138","Package_DIP:DIP-8_W7.62mm","1"
"U3","PCM5102_Module","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1"
